Country Name,Year,Adolescents out of school (% of lower secondary school age),Children out of school (% of primary school age),Current account balance (% of GDP),Current health expenditure (% of GDP),"Current health expenditure per capita, PPP (current international $)","Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Domestic general government health expenditure (% of general government expenditure),"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Exports of goods and services (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Gross savings (% of GDP),"Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth total (% of people ages 15-24)","Mortality caused by road traffic injury (per 100,000 population)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% net)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary (% net)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% net)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",Total reserves (% of total external debt),Total reserves in months of imports,Trade (% of GDP)
Brunei Darussalam,2000,1.25766003131866,1.5423701844255,32.008973233803,2.5479064,1884.51703482289,,5.72010231,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,56.970296136284,,8.36413523538418,0.482354019176907,6570999087.56742,3.47467627672586,37509.5983847742,1.2515924816352,3.38460993766785,8.92074012756348,51.7876966296619,99.0,30.0850368514857,76.386,72.066,74.017,1.0,98.8899993896484,15.9,18.9,17.2,20.6,8.3,10.3,93.18006,0.948059976100922,,,88.24888,1.03061997890472,87.98015,88.50918,13.4959297180176,1.52725994586945,18.8005504608154,8.88776016235352,0.21,0.077,0.33,,1.97420800823628,87.0553329877697
Brunei Darussalam,2001,1.25766003131866,1.5423701844255,32.008973233803,2.5465107,1925.05236179742,,5.97160959,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,57.9295714010074,,0.995621601100518,0.482354019176907,6096155767.38145,1.4660608198711,37269.3099216587,-0.64060526761881,3.2305329442024258,8.558874130249027,51.7876966296619,97.0,33.1702162186782,76.569,72.248,74.209,1.0,98.8899993896484,19.4,18.7,17.4,20.0,8.1,10.0,93.18006,0.954500019550323,,,88.24888,1.00864005088806,87.98015,88.50918,14.6684103012085,1.49226999282837,19.9043502807617,10.1060199737549,0.21,0.077,0.33,,1.97420800823628,91.0997876196857
Brunei Darussalam,2002,1.25766003131866,1.5423701844255,27.7227259839213,2.53447938,1991.077900691,,5.1140027,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,56.6559739607844,,3.62654271526088,0.482354019176907,6333082875.56937,3.9614389000248,37976.2627573601,1.8968766451203,3.0764559507370017,8.197008132934574,54.5162238558289,94.0,36.5602075114633,76.708,72.402,74.365,1.0,98.93799972534175,15.0,18.5,17.2,19.8,8.0,9.8,93.18006,0.964680016040802,,,88.24888,0.986630022525787,87.98015,88.50918,14.1154699325562,1.49226999282837,19.1461696624756,9.72105979919434,0.15,0.055,0.24,,2.133505722496,93.2161814722477
Brunei Darussalam,2003,1.25766003131866,1.5423701844255,34.6565048941565,2.60260582,2100.9766785493,,6.98940802,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,58.4208886316465,,1.72747847638813,0.482354019176907,7167725261.92713,3.58342909978997,38595.1688513702,1.62971827418733,2.9223789572715777,7.835142135620121,56.9478569565325,92.0,30.6647274671095,76.823,72.553,74.509,1.0,98.98600006103511,8.8,18.5,17.0,20.0,7.9,9.6,93.18006,0.975369989871979,,,88.24888,0.987269997596741,87.98015,88.50918,14.257490158081,1.5220400094986,19.7554893493652,9.44229030609131,0.072,0.026,0.11,,2.28521728575475,89.085616098756
Brunei Darussalam,2004,1.25766003131866,1.5423701844255,33.4391704190771,2.55193377,2076.44796088951,,6.39551544,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,57.7661851193269,,1.31341824941979,0.482354019176907,8619178773.51458,0.104538372603315,37948.6590825194,-1.67510542923259,2.768301963806154,7.473276138305668,56.7706482500164,92.0,27.1159815444923,76.912,72.641,74.603,1.0,99.03400039672847,12.5,17.8,16.2,19.3,7.8,9.5,93.18006,0.966409981250763,,,88.24888,0.982400000095367,87.98015,88.50918,15.1707801818848,1.54662001132965,21.3829402923584,9.6946496963501,0.069,0.025,0.11,,2.24485092804707,84.8821666638192
Brunei Darussalam,2005,1.25766003131866,1.5423701844255,38.234125142664,2.23386168,1823.7772701911,,6.43293381,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,58.5718065403264,,1.65985733716788,0.3102051247786135,10547202620.5286,-0.0039253166074644,37312.2778797122,-1.67695306815315,2.6142249703407296,7.1114101409912145,63.9414562144402,94.0,23.0483074751968,76.976,72.723,74.683,1.0,99.08200073242183,14.4,17.9,16.2,19.5,7.8,9.5,93.18006,0.961510002613068,,,88.24888,0.984990000724792,87.98015,88.50918,15.2498598098755,1.55392003059387,21.5910606384277,9.63123989105225,0.18,0.065,0.28,,2.1764374111227,81.6201140155232
Brunei Darussalam,2006,1.361332035064694,1.5423701844255,41.3567976989625,1.9072516,1650.88440381679,,5.81376076,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,60.1605718986421,,0.694676100917879,0.13805623038032,12644616418.691,4.09841257308588,38229.3565684183,2.45784696303623,2.460147976875306,6.749544143676762,66.2085968576008,97.0,21.4103828443269,77.03,72.799,74.753,1.0,99.1300010681152,12.7,17.9,16.2,19.5,7.8,9.5,93.18006,0.953180015087128,,,89.34426,1.00356996059418,89.83722,88.87461,15.2068796157837,1.54577004909515,21.4085807800293,9.72441005706787,0.32,0.12,0.51,,2.06491917367064,81.5709547429689
Brunei Darussalam,2007,1.465004038810728,1.5423701844255,35.9467432469808,1.94145441,1641.69060450888,,5.77389574,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,56.9641140757782,,1.91806992225192,0.13805623038032,13432029484.4012,-3.76362326254647,36174.516515486,-5.37503174884661,2.306070983409882,6.387678146362309,61.7392099345848,99.0,24.0473005611176,77.06,72.841,74.793,1.0,99.17800140380857,17.6,17.6,16.1,19.0,7.9,9.5,93.18006,0.956939995288849,,,87.6805,1.00881004333496,88.49667,86.90861,15.4847002029419,1.51707005500794,21.3645801544189,10.3176803588867,0.43,0.16,0.67,,2.27905400039256,81.0114146368958
Brunei Darussalam,2008,1.568676042556762,1.5423701844255,43.5683952508402,1.87612021,1511.95068086429,,6.20709467,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,65.9431408022612,,1.39506580939608,0.13805623038032,15926456515.0049,-3.90071101715114,34126.6941563969,-5.66095294794741,2.151993989944458,6.025812149047856,69.492591540605,98.0,23.8022845500731,77.08,72.868,74.814,1.0,99.22600173950192,10.5,17.4,15.8,18.9,8.0,9.6,93.18006,0.972259998321533,,,87.52486,1.00285995006561,88.24747,86.84284,15.7385101318359,1.54543995857239,22.2322902679443,10.1058797836304,0.35,0.13,0.55,,1.99896870152238,89.7454253523344
Brunei Darussalam,2009,1.672348046302796,1.5423701844255,33.3871860728932,2.39306617,1862.31851716561,,6.21688652,0.150000005960465,0.259999990463257,0.209999993443489,11.7299995422363,10.539999961853,11.1099996566772,1.79999995231628,1.99000000953674,1.89999997615814,91.2900009155273,63.0,59.7036049151399,,2.73305999823298,0.13805623038032,11912904509.8582,-1.90025367202547,32855.6021602466,-3.72462679896589,1.997916996479034,5.663946151733403,58.2879888470828,99.0,30.5834833436495,77.087,72.867,74.814,1.0,99.27400207519528,11.5,16.4,14.8,17.9,8.0,9.6,93.18006,0.98633998632431,,,89.11406,0.999920010566711,89.74596,88.51842,16.5658493041992,1.48361003398895,22.3758201599121,11.5545902252197,0.23,0.085,0.37,,4.09137804801046,90.2870882587894
